--------------------------------------------------------------------
            Voice Prompt file for TTS autogenerator
                   asterisk core sounds

 $Revision: 310 $

 Copyright 2009, AMOOMA GmbH, Bachstr. 126, 56566 Neuwied, Germany,
 http://www.amooma.de/
 Stefan Wintermeyer <stefan.wintermeyer@amooma.de>
 Philipp Kempgen <philipp.kempgen@amooma.de>
 Peter Kozak <peter.kozak@amooma.de>
 Soeren Sprenger <soeren.sprenger@amooma.de>
--------------------------------------------------------------------


"filename";"de";"en";"comment";"type";
"agent-alreadyon";"Dieser Agent ist bereits angemeldet. Bitte geben Sie Ihre Agentennummer gefolgt von der Raute Taste ein.";"That agent is already logged on. Please enter your agent number followed by the pound key.";
"agent-incorrect";"Anmeldung fehlerhaft. Bitte geben Sie Ihre Agentennummer gefolgt von der Raute Taste ein.";"Login incorrect. Please enter your agent number followed by the pound key.";
"agent-loggedoff";"Agent abgemeldet.";"Agent Logged off.";
"agent-loginok";"Agent angemeldet.";"Agent logged in.";
"agent-newlocation";"Bitte geben Sie eine neue Durchwahl gefolgt von der Raute Taste ein.";"Please enter a new extension, followed by pound.";
"agent-pass";"Bitte geben Sie Ihr Passwort gefolgt von der Raute Taste ein.";"Please enter your password followed by the pound key.";
"agent-user";"Agent angemeldet. Bitte geben Sie Ihre Agentennummer gefolgt von der Raute Taste ein.";"Agent login. Please enter your agent number followed by the pound key.";
"auth-incorrect";"Falsches Passwort. Bitte geben Sie Ihr Passwort gefolgt von der Raute Taste ein.";"Password incorrect. Please enter your password followed by the pound key.";
"auth-thankyou";"Danke.";"Thank you.";
"beep";;;"einfacher beep";"sound"
"beeperr";;;"fehler beep";"sound"
"conf-adminmenu";"Bitte drücken Sie 1 zum Stummschalten ihres Mikrofons oder zum Deaktivieren der Stummschaltung, 2 zum Sperren oder zum Entsperren der Konferenz, 3 um den letzten Teilnehmer abzumelden, 4 oder 6 um die Lautstärke der Konferenz zu erhöhen oder zu verringern, 7 oder 9 um die Lautstärke Ihres Mikrofons zu erhöhen oder zu verringern und 8 zum Beenden.";"Please press 1 to mute or unmute yourself, 2 to lock or unlock the conference, 3 to eject the last user, 4 or 6 to decrease or increase the conference volume, 7 or 9 to decrease or increase your volume, or 8 to exit";
"conf-enteringno";"Sie betretten den Konferenzraum";"You are entering conference number";
"conf-errormenu";"Ungültige Auswahl.";"Invalid Choice";
"conf-getchannel";"Bitte geben Sie die Kanalnummer gefolgt von der Rautetaste ein.";"Please enter the channel number followed by the pound key.";
"conf-getconfno";"Bitte geben Sie die Konferenznummer gefolgt von der Rautetaste ein.";"Please enter your conference number followed by the pound key.";
"conf-getpin";"Bitte geben Sie die Konferenz PIN ein, gefolgt von der Rautetaste.";"Please enter the conference pin number, followed by the pound key.";
"conf-hasjoin";"ist jetzt in der Konferenz.";"is now in the conference.";
"conf-hasleft";"hat die Konferenz verlassen.";"has left the conference.";
"conf-invalid";"Das ist keine mögliche Konferenznummer. Bitte versuchen Sie es noch einmal.";"That is not a valid conference number. Please try again.";
"conf-invalidpin";"Die eingegebene PIN ist für diese Konferenz ungültig.";"That pin is invalid for this conference.";
"conf-kicked";"Sie wurde aus der Konferenz ausgeschlossen.";"You have been kicked from this conference";
"conf-leaderhasleft";"Der Konferenzleiter hat die Konferenz verlassen.";"The leader has left the conference.";
"conf-locked";"Diese Konferenz ist gesperrt!";"This conference is locked!";
"conf-lockednow";"Diese Konferenz ist jetzt gesperrt";"The conference is now locked";
"conf-muted";"Ihr Mikrofon ist jetzt stumm geschaltet";"You are now muted";
