--------------------------------------------------------------------
            Voice Prompt file for TTS autogenerator
                   gemeinschaft sounds

 $Revision: 292 $

 Copyright 2009, AMOOMA GmbH, Bachstr. 126, 56566 Neuwied, Germany,
 http://www.amooma.de/
 Stefan Wintermeyer <stefan.wintermeyer@amooma.de>
 Philipp Kempgen <philipp.kempgen@amooma.de>
 Peter Kozak <peter.kozak@amooma.de>
 Soeren Sprenger <soeren.sprenger@amooma.de>
--------------------------------------------------------------------


"filename";"de";"en";"comment";"type"
"aktiviert";"aktiviert";"activated";
"alt";"alt";"old";
"anklopfen";"anklopfen";"call waiting";
"an";"an";"on";
"auf-durchwahl";"auf Durchwahl";"to extension";
"auf-wiedersehen";"auf wiedersehen";"Goodbye";
"ausgeschaltet";"ausgeschaltet";"deactivated";
"bei";"bei";"by";
"besetzt";"besetzt";"busy";
"bitte-druecken-sie-1-fuer-deutsch-2-fuer-englisch";"Bitte drücken Sie die 1 für Deutsch oder die 2 für Englisch.";"Plihs press oann for jarmen, or tuh for Inglisch";
"bitte-geben-sie-ihre-durchwahl-nummer-ein";"Bitte geben Sie ihre Durchwahlnummer ein.";"Please enter your extension";
"bitte-warten-sie-waehrend-ihr-telefon-neu-gestartet-wird";"Bitte warten Sie während ihr Telefon neu gestartet wird.";"Your phone will be restarted now. Please wait.";
"bitte-warten-sie";"Bitte warten sie.";"Please wait.";
"danach-die";"danach die";"followed by";
"das-gateway-ist-nicht-erreichbar";"Das Gateway ist nicht erreichbar.";"The gateway is unreachable";
"das";"das";"the";
"deaktiviert";"deaktiviert";"deactivated";
"der-teilnehmer-antwortet-nicht";"Der Teilnehmer antwortet nicht.";"The party you are trying to reach is not responding";
"der-teilnehmer-kann-ihren-anruft-nicht-beantworten";"Der Teilnehmer kann ihren Anruf nicht beantworten.";"The party you are trying to reach is unable to answer your call.";
"der-teilnehmer";"Der Teilnehmer";"The subscriber";
"der-teilnehmer-wurde-per-sms-informiert";"Der Teilnehmer wird per SMS informiert.";"The party you are trying to reach will be notified by SMS";
"der";"der";"the";
"die-durchwahl";"Die Durchwahl";"The extension";
"die";"die";"the";
"druecken-sie-danach-die-raute-taste";"Drücken Sie danach die Rautetaste.";"Please press the pound key after that.";
"druecken-sie-die-1-um-einen-automatischen-rueckruf-zu-programmieren";"Drücken Sie die 1 um einen automatischen Rückruf zu programmieren.";"Press 1 to set automatic call-back";
"druecken-sie-die";"drücken Sie die";"Press";
"druecken-sie";"drücken Sie";"press";
"druecken";"drücken";"press";
"eingeschaltet";"eingeschaltet";"activated";
"eingestellt";"eingestellt";"adjusted";
"eins";"eins";"one";
"ein";"ein";"on";
"erreichbar";"erreichbar";"available";
"extern";"extern";"external";
